"name","type","borough","address","city","zip","lat","lon","license_no"
"1 barber n beauty salon","salon","Bronx","3475 Boston road","Bronx","10469","40.87667","-73.8475","AEB-15-00060"
"1 barber n beauty salon","barber","Bronx","3475 Boston road","Bronx","10469","40.87667","-73.8475","BSO-14-00075"
"1 NAIL SALON INC","salon","Bronx","3137 E TREMONT AVE","BRONX","10461","40.83791","-73.83477","AEB-25-00774"
"1082 CITY NAILS INC","salon","Bronx","1085 Southern Blvd","Bronx","10459","40.8256","-73.89194","AEB-14-03157"
"11 RP CORP","salon","Bronx","11 W Burnside Ave","Bronx","10453","40.85385","-73.90795","AEB-18-02375"
"1126 RAFAELAS BEAUTY SALON INC","salon","Bronx","1126 CARROLL PLACE","BRONX","10456","40.83255","-73.91841","AEB-25-01583"
"1206 DANNA LLC","salon","Bronx","1206 Morrison Ave","Bronx","10472","40.82996","-73.8747","AEB-23-00795"
"131 VICTOR'S BARBERSHOP INC","barber","Bronx","131 E 169th St","Bronx","10452","40.83675","-73.91681","BSO-22-00241"
"1367 DIAMOND BARBERSHOP LLC","barber","Bronx","1367 Prospect Ave","Bronx","10459","40.83057","-73.89709","BSO-23-00223"
"138 Barbershop Inc.","barber","Bronx","523 E 138th St","Bronx","10454","40.80729","-73.91859","BSO-26-00262"
"14 INNOVATION BARBER SHOP AND BEAUTY SALON INC","barber","Bronx","2357 JEROME AVE","BRONX","10468","40.86002","-73.90292","BSO-15-00390"
"149 NAIL STUDIO INC.","salon","Bronx","289 E 149th St","Bronx","10451","40.81719","-73.9219","AEB-26-00442"
"152 & 3 NAILS SALON CORP.","salon","Bronx","2923 3rd Ave # 2","Bronx","10455","40.81742","-73.91574","AEB-25-02237"
"1533 The Compadres BarberFlow Salon Unisex, Corp","barber","Bronx","1533 Watson Ave","Bronx","10472","40.82611","-73.87794","BSO-24-00078"
"161 ST DIVA'S BEAUTY SALON UNISEX CORP.","salon","Bronx","670 EAST 161 St","BRONX","10456","40.82178","-73.9067","AEB-25-01169"
"167 Foxy Nail Inc","salon","Bronx","1196 Gerard Ave","Bronx","10452","40.8351","-73.92049","AEB-20-01877"
